Country: GB | User: 2.00% | Revenue: 3.41% | Avg. revenue 0.64 USD per user. 
Country: TZ | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: DO | User: 0.11% | Revenue: 0.00% | Avg. revenue 0.02 USD per user. 
Country: SD | User: 0.04% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: RE | User: 0.04% | Revenue: 0.05% | Avg. revenue 0.46 USD per user. 
Country: HK | User: 0.09% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: AE | User: 0.20% | Revenue: 0.05% | Avg. revenue 0.09 USD per user. 
Country: GF | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: LY | User: 0.09% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: AF | User: 0.04% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MV | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: LV | User: 0.04% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: NG | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: LA | User: 0.05% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: SK | User: 0.09% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: SN | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: TJ | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: PS | User: 0.06% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: EE | User: 0.03% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: GE | User: 0.03% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: GI | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: CV | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: PF | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: JM | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: AM | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: CI | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: KN | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: CY | User: 0.02% | Revenue: 0.01% | Avg. revenue 0.13 USD per user. 
Country: BQ | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: NC | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: TD | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: AW | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MG | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: TT | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MN | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: AO | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: BJ | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: NE | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: GP | User: 0.02% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: BW | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MO | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: AG | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: BZ | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MR | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: BS | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: UG | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: SX | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: CG | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MK | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: FO | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: GG | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: JE | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: SR | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: BN | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: IM | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MP | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: RW | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MS | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: BF | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MZ | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: KE | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: HT | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: VG | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: GY | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: SZ | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: GL | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: FJ | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: CD | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: VI | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: ET | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: KY | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: IS | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: SS | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: MT | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: GN | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: VC | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: CM | User: 0.01% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: TL | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: TO | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: LC | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: YT | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: ML | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: NA | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: XK | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: PG | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
Country: CW | User: 0.00% | Revenue: 0.00% | Avg. revenue 0.00 USD per user. 
